symbol,name,exchange,technology,industriaRBICS,finance,price,marketvalue,sales,netsales,ebit,depandamort,interest,netincome,taxes,retainearnigs,assests,currentassets,liabilities,daysreceiv,ccc,intangibles,netreceivables,freecashflow,cashflowoperations,capex,roaaverage,marketvaluelastyear,entreprisevalue,pricebv,pricetbv,growtheps,growthlongterm,pricetoearnings,evtoebitda,indistrifactset,equity,freecashtoassets,freecashtotangibleassets,debt
ADRO,"Aduro BioTech, Inc.",NASDAQ,1,Healthcare,0,3.82,304.4883733,15.087,15.087,-85.129,4.953,0,-95.357,-0.783,-404.532,357.504,282.976,222.193,369.1974879,,33.469,12.037,-71.124,-68.759,2.365,-23.76107606,209.6265666,-58.37424552,1.552494,2.062698346,0,,,,Biotechnology,135.311,-0.198946026,-0.219494808,0.621511927
ADTN,"ADTRAN, Inc.",NASDAQ,1,Technology,0,14.66,700.410819,529.27698,529.277,-45.422,15.891,0.533,-19.342,-14.029,883.975,628.027,353.026,181.748,105.7918443,158.3760332,40.289,99.385,47.344,55.454,8.11,-2.982296948,511.7610055,431.0812,1.14916,1.263197961,0,5,,,Telecommunications Equipment,446.279,0.075385294,0.080552899,0.289395201
ADUS,Addus HomeCare Corporation,NASDAQ,1,Healthcare,0,61.55,806.1818637,490.27203,518.119,24.337,,5.016,17.377,4.498,,355.388,185.504,79.855,69.56478627,,159.226,108,,33.203,,5.508568603,889.092175,787.43604,,,20.09167,15,48.02263884,23.87689257,Medical/Nursing Services,275.533,,,0.224698076
ADVM,Adverum Biotechnologies Inc,NASDAQ,1,Healthcare,0,4.45,279.7625881,2.003,1.612,-73.081,1.75,0,-72.627,-1.25,-320.543,213.495,208.754,12.328,,,0,,-54.773,-53.964,0.809,-34.96726047,198.0342061,-11.74775,0.9859525,0.985953085,-100000,,,,Biotechnology,201.167,-0.256554018,-0.256554018,0.057743741
AEGN,Aegion Corporation,NASDAQ,1,Industrials,0,16.85,535.0549072,1333.568,1333.568,62.303,37.855,17.327,2.928,-0.132,379.89,992.417,481.867,522.23,83.55063071,80.85449821,380.329,300.58,7.498,38.012,30.813,0.278921428,527.3644567,772.563409,1.125853,6.321882765,0,10,183.9909808,7.713446844,Engineering & Construction,470.187,0.007555292,0.012249873,0.526220329
AFI,"Armstrong Flooring, Inc.",NYSE,0,Non-Energy Materials,0,14.47,373.8469333,1136,728.2,-17.7,55.1,4.8,-19.1,-6,-186.3,708.2,370.9,317.2,23.85882999,33.28117863,32,39,27.2,62.5,35.3,-2.390039417,305.8035135,233.34,0.7822332,0.851958677,-31.48899,19.4,,8.642222222,Building Products,391,0.03840723,0.040224786,0.447896075
AFIN,"American Finance Trust, Inc.",NASDAQ,1,Finance,1,10.88,1155.789913,300.59198,291.207,17.759,,66.789,-37.409,0,-812.047,3262.547,,1652.812,23.75889831,,1.605,,,,,-1.140657919,1414.992751,2825.576906,0.8835991,0.884485576,100000,,,17.92128237,Real Estate Investment Trusts,1609.735,,,0.506601744
AFMD,Affimed N.V.,NASDAQ,1,Healthcare,0,3.62,225.9893579,1.8022941,2.267148479,-30.97872,0.395905033,0.778274851,-34.0895664,-0.022558691,-219.3465336,51.8241264,50.409584,13.9040632,297.9813967,,0.078052,0.696464,-29.52256,-28.81760024,0.75346029,-66.04483668,194.1510778,17.64218192,1.604127,1.607440476,0,,,,Biotechnology,37.9200632,-0.569668262,-0.57052753,0.268293248
AGEN,Agenus Inc.,NASDAQ,1,Healthcare,0,2.65,347.399097,38.687366,42.877086,-106.9894,6.006299,18.868494,-120.692492,0,-1026.475773,138.402024,73.553554,214.217816,53.14701161,,37.455454,1.134493,-97.3455,-94.225143,3.120357,-81.71793567,285.5595578,387.4787076,,,0,,,,Biotechnology,-75.815792,-0.703353153,-0.96432697,1.547793954
AGFS,"AgroFresh Solutions, Inc.",NASDAQ,1,Non-Energy Materials,0,4.78,243.8230253,179.60501,164.026,14.135,44.356,35.755,23.471,-4.579,-108.729,983.263,178.835,567.183,176.4384,213.7595491,767.284,71.509,27.664,35.389,7.725,2.408384968,193.3241038,731.1756422,0.9138578,,0,,15.74468085,12.75046895,Chemicals: Agricultural,416.08,0.028134894,0.128086527,0.57683753
AGLE,Aeglea BioTherapeutics Inc,NASDAQ,1,Healthcare,0,8.06,221.3437307,5.3700004,3.888,-45.463,,,-44.348,,-116.861,77.739,76.671,10.311,144.4791667,,,0,,,,-66.28205895,179.4753737,,2.681512,,-100000,,,,Pharmaceuticals: Major,67.428,,,0.132636129
AGM,Federal Agricultural Mortgage Corporation Class C,NYSE,0,Finance,1,77.66,822.4847061,504.37,504.37,455.805,,319.448,108.08,27.942,393.351,18701.023,,17948.466,150.3865565,,,,200.031,200.031,0,0.592106337,641.2955638,16672.68824,1.177098,1.177098233,0,,6.844072019,36.57855495,Finance/Rental/Leasing,752.557,0.01069626,,0.959758512
AGMH,"AGM Group Holdings, Inc. Class A",NASDAQ,1,Finance,1,26.46,878.8953292,,12.686284,5.21937,0.246529,0,3.899891,1.300894,6.099419,24.746076,,16.628159,246.1210306,,3.104128,,6.63396,6.678265,1.40369,22.14774881,888.5279996,,,,,,,,Financial Conglomerates,8.117917,0.268081291,0.30653248,0.671951343
AGRO,Adecoagro S.A.,NYSE,0,Consumer Non-Cyclicals,0,6.89,803.863158,641.12329,933.178,17.535,151.007,71.838,9.972,-6.068,102.558,1607.201,709.643,962.07,44.17769707,143.0935263,17.192,52.294,-34.431,165.813,202.385,0.651133362,812.0301479,1805.02602,1.903062,1.955618038,0,-0.733805,124.5783133,10.70965113,Agricultural Commodities/Milling,645.131,-0.021422958,-0.021654594,0.598599677
AGS,"PlayAGS, Inc.",NYSE,0,Consumer Services,0,26.35,931.6833585,275.49799,285.299,34.043,82.087,37.607,-20.846,-8.377,-222.403,731.342,150.743,595.538,49.56238893,80.0686099,474.161,44.704,-9.091,45.511,66.181,-2.918414318,812.015007,1248.371,5.987494,,100000,,,10.74977181,Industrial Conglomerates,135.804,-0.012430573,-0.035348646,0.81430849
AGX,"Argan, Inc.",NYSE,0,Industrials,0,46.86,729.6570742,564.07306,892.815,107.561,3.811,0,72.011,40.279,211.112,603.393,545.751,245.265,32.16488018,,41.478,99.327,-77.619,-72.793,4.826,11.54132485,589.2066461,254.036,1.895507,2.143833043,0,10,9.561403509,2.280968286,Engineering & Construction,358.128,-0.128637555,-0.138132992,0.406476376
AGYS,"Agilysys, Inc.",NASDAQ,1,Consumer Services,0,20.74,488.1158914,136.27899,127.36,-10.132,14.526,0.01,-8.35,-3.251,103.601,157.207,63.924,48.776,45.83564306,10.80917694,73.287,16.389,0.734,6.874,15.058,-5.146188739,337.3915218,232.02192,2.564119,7.911170433,0,,,52.80426036,Packaged Software,108.431,0.004669003,0.008746425,0.310266082
AHH,"Armada Hoffler Properties, Inc.",NYSE,0,Finance,1,15.18,1029.522787,194.851,194.851,29.388,39.647,24.087,17.203,-0.029,-82.699,1265.382,,809.492,279.2399577,,29.182,,44.364,56.087,16.438,1.490401797,943.622845,1520.22572,2.567605,2.873823743,0,4.407605,38.82905275,21.46150519,Real Estate Investment Trusts,455.89,0.035059769,0.035887397,0.639721444
AHT,"Ashford Hospitality Trust, Inc.",NYSE,0,Finance,1,4.77,481.7986024,1430.8781,1430.878,110.228,258.221,236.786,-127.86,2.782,-1363.02,4685.954,,4152.106,15.36446853,,9.824,,-25.765,181.56,207.325,-2.733276584,404.1520081,3936.351,0.8935992,0.913441446,100000,-3.0617,,10.68357086,Real Estate Investment Trusts,533.848,-0.005498347,-0.005509898,0.886074853
AI,Arlington Asset Investment Corp. Class A,NYSE,0,Finance,1,8.16,298.4356896,16.788,37.195,-6.239,,84.825,-91.797,0.733,-1731.982,4099.45,,3825.006,171.8625487,,,,63.749,63.749,0,-2.222693302,220.9358384,3987.60148,0.8294752,0.829475338,0,,,,Financial Conglomerates,274.444,0.015550623,,0.933053458
AIMT,Aimmune Therapeutics Inc,NASDAQ,1,Healthcare,0,23.49,1460.749145,0,0,-215.341,1.598,0,-210.752,0.061,-476.234,339.555,312.619,40.608,,,,,-178.548,-169.128,9.42,-77.12945732,1404.8455,1069.22576,4.972239,4.972241367,-100000,,,,Biotechnology,298.947,-0.525829394,,0.119591819
AIR,AAR CORP.,NYSE,0,Industrials,0,34.32,1204.460431,1818.9999,1748.3,86,40.5,8,73.1,3.5,733.2,1559.4,942.7,623.1,45.66936453,116.7337735,146.5,202,42.3,64.3,22,4.698094412,1310.447351,1681.874,1.656991,1.9643468,0,12,103.0911188,13.29544664,Aerospace & Defense,936.3,0.027125818,0.029938425,0.39957676
AIRG,"Airgain, Inc.",NASDAQ,1,Technology,0,13.03,125.1270834,60.625214,60.625212,-3.38601,1.263412,0.030988,-2.58432,0.101543,-44.994061,52.907112,43.085215,7.75978,46.45297966,15.04473736,8.15217,7.01322,0.38665,1.376514,0.989866,-4.732969235,98.25764811,60.56294777,2.107484,2.571883262,0,,,,Telecommunications Equipment,45.147332,0.007308091,0.008639269,0.146667994
AJX,Great Ajax Corp.,NYSE,0,Finance,1,13.39,253.2049044,107.39701,111.487,86.146,0.155,53.921,28.033,0.064,41.063,1602.871,,1268.592,51.71490846,,,,1.024,1.024,0,1.8697336,227.2268578,1551.346079,0.757441,0.75744092,9.7561,,8.453767364,17.97599193,Investment Managers,334.279,0.000638854,,0.791449842
AKBA,"Akebia Therapeutics, Inc.",NASDAQ,1,Healthcare,0,7.19,840.4247302,235.20798,177.984,-79.917,0.617,,-76.914,0,-374.05,364.247,358.356,244.916,69.76535812,,0,34.216,-57.781,-56.159,1.622,-23.15072472,646.3906672,329.0648217,5.933073,5.933073925,0,,,,Biotechnology,119.331,-0.158631368,-0.158631368,0.672389889
AKRX,"Akorn, Inc.",NASDAQ,1,Healthcare,0,3.62,454.5923562,694.01801,694.018,-134.405,82.805,51.116,-401.909,-36.273,-107.168,1546.41,583.819,1102.544,77.44452233,173.4554452,568.855,153.126,-138.005,-68.894,69.161,-23.25915436,425.4178822,1019.66537,0.9584394,,-100000,15,,,Pharmaceuticals: Major,443.866,-0.08924218,-0.141173642,0.71297004
AKS,AK Steel Holding Corporation,NYSE,0,Non-Energy Materials,0,2.79,882.5020714,6818.2002,6818.2,356.5,252.2,153.2,185.7,-6.2,-2691.8,4515.7,2201.3,4086.2,30.87794433,70.36568791,298.9,635.8,212.7,364.7,152,4.131027195,709.9694824,2984.8,7.10676,,-0.2726138,0.57969,3.8239293,4.903564975,Steel,429.5,0.047102332,0.050441093,0.904887393
AKTS,"Akoustis Technologies, Inc.",NASDAQ,1,Technology,0,6.25,186.9562507,0.98919696,1.207865,-21.8827,1.262596,0.329422,-21.738627,0,-38.246684,29.307916,15.879047,15.458054,32.4334818,-1.898544572,0.264295,0.214659,-21.14213,-14.199982,7.014994,-91.72371368,147.2312765,148.7961835,11.65494,11.88165256,0,20,,,Telecommunications Equipment,13.849862,-0.721379507,-0.727944012,0.527436137
ALACU.U,Alberton Acquisition Corp. Units,NASDAQ,1,Finance,1,10.15,104.54499,,,,,,,,,,,,,,,,,,,,103.669495,,,,,,,,Financial Conglomerates,0,,,#DIV/0!
ALBO,"Albireo Pharma, Inc.",NASDAQ,1,Healthcare,0,31,371.0700083,12.168,12.74,-37.89,0.045,4.838,-46.111,0.02,-96.47,185.466,167.65,62.829,52.1571821,,17.26,,-26.863,-26.802,0.061,-35.64961924,293.6241148,173.1533161,2.394238,2.786398681,-100000,,,,Pharmaceuticals: Other,122.637,-0.144840564,-0.159702983,0.3387629
ALCO,"Alico, Inc.",NASDAQ,1,Consumer Non-Cyclicals,0,29.85,222.7705475,78.526993,81.281,12.769,13.756,9.494,13.05,0.39,151.111,423.422,72.24,245.827,15.33537973,257.2529587,2.246,2.544,2.297,19.08,16.783,3.097540482,219.9224977,436.2628,1.610291,1.631582475,,,21.49990459,16.44723091,Agricultural Commodities/Milling,177.595,0.005424848,0.005453777,0.580572101
ALDR,"Alder Biopharmaceuticals, Inc.",NASDAQ,1,Healthcare,0,12.5,1019.287491,0,0,-289.149,2.567,17.185,-296.429,0,-963.938,426.239,419.809,212.508,,,,,-253.986,-250.85,3.136,-81.28301628,700.3517857,571.5058263,6.376004,6.376012985,0,,,,Biotechnology,213.731,-0.595876961,,0.498565359
ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,1,Healthcare,0,7.53,206.2843592,0,0,-22.48839,0.037849,0.113453,-22.340589,0,-99.641923,44.174958,43.965766,4.573939,,,0,,-19.41355,-19.388792,0.024759,-64.41678104,217.8252007,66.6585232,3.286183,3.286176681,0,,,,Biotechnology,39.601019,-0.439469575,-0.439469575,0.103541445
ALEC,"Alector, Inc.",NASDAQ,1,Healthcare,0,19.5,1333.117458,,3.735,-32.679,0.68,0,-32.48,0,-62.187,236.06,232.974,210.608,9794.70415,,,0.238,-18.572,-17.771,0.801,-22.38679951,,,,,,-28.6125,,,Biotechnology,25.452,-0.078674913,,0.892179954
ALG,Alamo Group Inc.,NYSE,0,Industrials,0,98.02,1150.656772,1008.822,1008.822,101.088,23.114,5.493,73.486,21.045,443.04,721.633,452.843,214.262,80.15732458,134.7787175,132.1,228.098,-13.677,12.91,26.699,10.79641285,907.3501699,960.61552,1.770825,2.394177019,14.28571,,12.37456588,7.734299931,Trucks/Construction/Farm Machinery,507.371,-0.018952847,-0.023199719,0.296912697
ALGRU.U,Allegro Merger Corp. Units Cons of 1 Sh + 1 Rt + 1 Wt 2022,NASDAQ,1,Finance,1,10.43,159.8189,,0,-0.00098,,0,-0.000983,0,-0.000983,0.065137,0.003545,0.04112,,,0,,-0.00098,-0.000983,0,,158.13336,,,,,,,,Financial Conglomerates,0.024017,-0.015045212,-0.015045212,0.63128483
ALLT,Allot Ltd.,NASDAQ,1,Technology,0,7.85,264.6549023,95.836998,95.837,-10.195,3.834,,-10.415,2.428,,189.844,144.719,53.941,95.05188497,138.6368099,37.393,26.093,-2.455,1.03,3.485,-5.564029073,204.64399,,,,0,,,,Computer Communications,135.903,-0.01293167,-0.016103535,0.284133288
ALNA,"Allena Pharmaceuticals, Inc.",NASDAQ,1,Healthcare,0,6.55,135.9845519,0,0,-35.593,0.078,,-35.648,0,-117.605,65.229,64.469,15.773,,,,,-32.157,-31.839,0.318,-44.15214456,113.1474443,61.3766817,2.293134,2.293133012,-100000,,,,Pharmaceuticals: Major,49.456,-0.492986248,,0.241809625
ALOT,"AstroNova, Inc.",NASDAQ,1,Technology,0,19.01,130.3705778,132.19,113.401,6.612,3.994,0.402,3.286,1.871,45.7,122.313,63.78,58.666,61.31881553,145.7403039,46.637,22.4,1.52,3.724,2.204,3.190632009,128.5874963,120.1605,1.435581,5.371569841,0,12,28.72340426,11.32948331,Computer Peripherals,63.647,0.012427134,0.020085628,0.479638305
ALPN,"Alpine Immune Sciences, Inc.",NASDAQ,1,Healthcare,0,6.75,125.2867556,0.83299983,1.731,-14.974,0.241,0.152,-7.783,-0.2,-9.384,85.222,82.548,6.305,13.49508954,,1.453,,-17.158,-16.572,0.586,-15.91338929,50.9753618,-3.611352,1.962939,1.999757224,0,,,,Biotechnology,78.917,-0.201332989,-0.204825174,0.073983244
ALYA,Alithya Group inc Class A,NASDAQ,1,Technology,0,2.7301,118.5081798,,,,,,,,,,,,,,,,,,,,102.0087981,,,,100000,,,,Information Technology Services,0,,,#DIV/0!
AMAG,"AMAG Pharmaceuticals, Inc.",NASDAQ,1,Healthcare,0,13.99,485.6348796,474.00201,474.002,-64.153,172.223,51.971,-169.339,39.654,-542.442,1175.459,525.17,428.804,68.07413787,100.0502856,639.546,85.347,58.266,60.8,2.534,-11.01100034,525.6802918,411.48286,0.7040423,4.907866607,0,-17,,4.293121955,Biotechnology,746.655,0.049568722,0.108722871,0.364797071
AMAL,Amalgamated Bank,NASDAQ,1,Finance,1,16.99,556.9151911,192.274,192.274,,,4.646,37.022,13.298,134.599,4677.888,,4246.149,,,21.039,,,,,0.849220959,639.1904869,679.847765,1.435447,1.509004417,0,,16.11570248,,Regional Banks,431.739,,,0.907706426
AMBA,"Ambarella, Inc.",NASDAQ,1,Technology,0,42.06,1348.065049,247.27301,227.768,-40.42,,,-30.447,-4.105,230.861,466.853,409.589,47.364,46.0769072,60.40926961,37.537,26.212,,,,-6.008276254,1121.143919,,,,-96.46133,7.81208,,,Semiconductors,419.489,,,0.101453777
AMBC,"Ambac Financial Group, Inc.",NASDAQ,1,Finance,1,19.65,890.9702641,501.517,501.517,,107.98,242.256,185.713,5.134,1421.302,14800.522,3088.409,13167.375,,,718.931,,-1543.263,-1543.263,0,0.970338307,781.5926044,9041.366555,0.4909541,0.895232929,-100000,,4.322210244,,Specialty Insurance,1633.147,-0.104270849,-0.109594363,0.889656122
AMBR,"Amber Road, Inc.",NYSE,0,Technology,0,8.89,249.6578813,85.166054,85.166053,-11.84747,4.979615,1.271786,-13.60252,0.49201,-176.502748,100.102977,27.668605,70.325422,77.18063898,,47.685524,18.176224,0.11359,3.548432,3.434841,-13.63845583,228.7281458,242.7215829,7.694897,,0,,,,Packaged Software,29.777555,0.001134731,0.002167026,0.702530775
AMCIU.U,AMCI Acquisition Corp. Units Cons of 1 Sh -A- + 0.5 Wt,NASDAQ,1,Finance,1,10.055,221.73286,,0,-0.0026,,0,-0.0026,0,-0.0026,0.165,0.125,0.1426,,,0,,-0.0426,-0.0426,0,,219.41739,,,,,,,,Financial Conglomerates,0.0224,-0.258181818,-0.258181818,0.864242424
